;Coord 1;Coord 2;Coord 3;Coord 4;Coord 5;Coord 6;Coord 7;Coord 8;Coord 9;Coord 10;Coord 11;Coord 12;Coord 13;Coord 14;Coord 15;Coord 16;Coord 17;Coord 18;Coord 19;Coord 20;Coord 21;Coord 22;Coord 23;Coord 24
RH4;-0.15928;-0.18324;-0.0055587;-0.24237;0.11438;-0.14759;0.047451;0.15988;0.28712;0.097097;-0.026129;0.054741;0.12049;0.18048;0.36323;0.34096;-0.12371;-0.049099;-0.12397;0.10662;0.14227;0.11848;0.069381;-0.13954
RH4;0.023223;-0.30246;0.1284;-0.097245;0.16566;-0.081488;0.061401;-0.1944;0.044323;-0.092601;0.28533;-0.0050625;0.27111;0.13837;0.054424;0.01964;0.14514;-0.12244;-0.13076;0.040335;0.099128;0.064627;0.080774;0.042156
RH4;-0.26391;-0.056172;-0.093316;-0.11233;-0.0014299;-0.05959;0.28251;-0.16952;0.16352;-0.10082;-0.0019262;0.023614;-0.17927;-0.070787;-0.062632;-0.050941;0.068411;0.004726;-0.33011;-0.082384;-0.26444;0.10282;-0.096626;-0.086076
RH5;-0.27653;0.24439;-0.10503;0.15633;0.064394;0.17204;0.08597;-0.27279;0.25403;-0.28373;0.10049;0.079454;0.14105;0.0013052;0.05327;0.089457;-0.12325;0.064387;0.077194;-0.018199;0.063706;-0.26158;-0.063284;0.081659
RH5;-0.20141;-0.15272;0.10604;0.49079;-0.01294;0.32889;-0.26269;0.051376;-0.1394;-0.052634;0.051293;-0.24531;0.063662;0.12716;0.067804;0.24274;0.12908;-0.047098;0.0018125;-0.13848;-0.15364;0.15066;0.10317;0.0009487
RH5;-0.28847;-0.024941;-0.15765;-0.15762;0.028869;-0.36506;-0.34988;0.14649;-0.039428;0.030474;-0.15349;-0.23398;0.043957;-0.11041;-0.0048263;0.12236;0.19499;0.081911;0.055304;-0.037263;-0.058749;0.25411;-0.21514;0.13669
RH5;-0.35327;0.00020303;-0.18242;-0.0037755;-0.033688;0.0072192;0.26207;-0.021187;-0.048182;0.18288;0.043086;-0.031723;-0.12171;0.19549;-0.082743;-0.19368;0.050946;-0.38755;0.19212;-0.1913;-0.14589;0.013497;0.068606;-0.19133
RH5;-0.3374;0.08514;-0.22997;-0.05914;-0.0043192;0.18507;-0.22402;0.1517;-0.12343;0.010848;0.27704;-0.060668;-0.1088;0.094463;-0.16982;0.090867;-0.07453;0.13797;-0.085261;0.11149;0.13259;-0.23956;-0.0056665;-0.082928
RB1;0.089733;0.16136;0.022152;0.057433;0.25027;0.068819;0.055781;0.0053159;-0.020362;-0.10663;-0.21373;0.024086;-0.021619;0.073166;-0.13653;0.12563;-0.20222;-0.28974;-0.34159;0.1042;0.1748;0.067116;0.1119;0.10457
RB1;0.15476;-0.20065;-0.059866;0.010227;0.09315;0.02388;-0.076555;-0.20612;0.15487;-0.034131;-0.24348;-0.19092;-0.072689;0.018129;-0.23759;0.031471;0.14648;0.24464;-0.35497;-0.062704;-0.063358;0.043454;0.086798;0.080955
